doi,abstract,detected_compounds,detection_number,actual_compound,actual_compnum 
10.3762/bjoc.10.82,"Two pairs of geometrical isomers - cuevaenes A (1) and C (3) as well as cuevaenes D (4) and E (5) - and cuevaene B (2) were isolated from gdmAI-disrupted Streptomyces sp. LZ35. The constitution of cuevaene C (3) was found to be identical to cuevaene A (1) by means of NMR spectroscopy and high resolution mass spectrometry. However, the relative configurations of the triene side chain moieties were determined to be different. It was established on the basis of spectroscopic data that cuevaenes D (4) and E (5) are amides and geometrical isomers. Cuevaenes A-C (1-3) displayed moderate activity against Gram-positive bacteria (e.g., Bacillus subtilis strain ATCC 11060) and modest activity against fungi (e.g., Fusarium verticillioides strain S68 and Rhizoctonia solani strain GXE4). However, cuevaenes D (4) and E (5) showed no inhibitory activity against any of the tested microbes.","['Cuevaene A', 'Cuevaene B', 'Cuevaene C', 'Cuevaene D', 'Cuevaene E']",5,['Cuevaene D'],1
10.1177/1934578X1400900615,"An antibiotic substance isolated from Pseudomonas fluorescens strain G308 was earlier assigned the structure of N-mercapto-4-formylcarbostyril, but computational predictions of the 1H and 13C NMR magnetic shielding tensors show this structure to be incompatible with the published spectroscopic data. The same is true for six quinoline derivatives related to N-mercapto-4-formylcarbostyril by permutation of the O and S atoms. In contrast, 2-(2-hydroxyphenyl)thiazole-4-carbaldehyde [aeruginaldehyde], isolated from Pseudomonas protegens Pf-5, together with the reduced derivative aeruginol, displays spectroscopic data identical with those of the alleged carbostyril derivative. In addition, the published 1H and 13C NMR data are in agreement with those calculated for aeruginaldehyde. We propose that aeruginaldehyde and aeruginol originate from the non-ribosomal peptide synthetase enzymes involved in the siderophores enantio-pyochelin (or pyochelin) biosynthetic pathways.",[],0,['Aeruginaldehyde'],1
10.1080/10286020.2014.881356,"The addition of the DNA methyltransferase inhibitor 500 M 5-azacytidine to the culture medium of a plant endophytic fungus, Pestalotiopsis crassiuscula, obtained from the leaves of Fragaria chiloensis, dramatically altered the profiles of its metabolites and resulted in the isolation of one new coumarin (1), along with six known compounds (2-7). HPLC profiles revealed that only compounds 3, 4, and 7 belonged to the new induced secondary metabolites. The structures of all isolated compounds were elucidated on the basis of extensive analysis of NMR spectra.",[],0,"['4,6-dihydroxy-7-hydroxymethyl-3-methoxymethylcoumarin']",1
10.3390/md12063116,"Nine new C9 polyketides, named aspiketolactonol (1), aspilactonols A-F (2-7), aspyronol (9) and epiaspinonediol (11), were isolated together with five known polyketides, (S)-2-(2′-hydroxyethyl)-4-methyl- γ-butyrolactone (8), dihydroaspyrone (10), aspinotriol A (12), aspinotriol B ( 13) and chaetoquadrin F (14), from the secondary metabolites of an Aspergillus sp. 16-02-1 that was isolated from a deep-sea sediment sample. Structures of the new compounds, including their absolute configurations, were determined by spectroscopic methods, especially the 2D NMR, circular dichroism (CD), Mo2-induced CD and Mosher's 1H NMR analyses. Compound 8 was isolated from natural sources for the first time, and the possible biosynthetic pathways for 1-14 were also proposed and discussed. Compounds 1-14 inhibited human cancer cell lines, K562, HL-60, HeLa and BGC-823, to varying extents.","['Aspiketolactonol', 'Aspilactonol A', 'Aspilactonol B', 'Aspilactonol C', 'Aspilactonol D', 'Aspilactonol E', 'Aspilactonol F', 'Aspinotriol A', 'Aspyronol', 'Chaetoquadrin F', 'Dihydroaspyrone', 'Epiaspinonediol', 'Γ-butyrolactone']",13,"['Epiaspinonediol', 'Aspiketolactonol', 'Aspilactonol C', 'Aspyronol', 'Aspilactonol A', 'Aspilactonol D', 'Aspilactonol B']",7
10.1021/np500387h,"The cyclic tetrapeptide 1-alaninechlamydocin was purified from a Great Lakes-derived fungal isolate identified as a Tolypocladium sp. Although the planar structure was previously described, a detailed analysis of its spectroscopic data and biological activity are reported here for the first time. Its absolute configuration was determined using a combination of spectroscopic (1H-1H ROESY, ECD, and X-ray diffraction) and chemical (Marfey's analysis) methods. 1-Alaninechlamydocin showed potent antiproliferative/cytotoxic activities in a human pancreatic cancer cell line (MIA PaCa-2) at low-nanomolar concentrations (GI50 5.3 nM, TGI 8.8 nM, LC50 22 nM). Further analysis revealed that 1-alaninechlamydocin induced G2/M cell cycle arrest and apoptosis. Similar to other cyclic epoxytetrapeptides, the inhibitory effects of 1-alaninechlamydocin are proposed to be produced primarily via inhibition of histone deacetylase (HDAC) activity.",[],0,['1-alaninechlamydocin'],1
10.1021/np400742p,"Culture extracts from the cave-derived actinomycete Nonomuraea specus were investigated, resulting in the discovery of a new S-bridged pyronaphthoquinone dimer and its monomeric progenitors designated hypogeamicins A-D (1-4). The structures were elucidated using NMR spectroscopy, and the relative stereochemistries of the pyrans were inferred using NOE and comparison to previously reported compounds. Absolute stereochemistry was determined using quantum chemical calculations of specific rotation and vibrational and electronic circular dichroism spectra, after an extensive conformational search and including solute-solvent polarization effects, and comparing with the corresponding experimental data for the monomeric congeners. Interestingly, the dimeric hypogeamicin A (1) was found to be cytotoxic to the colon cancer derived cell line TCT-1 at low micromolar ranges, but not bacteria, whereas the monomeric precursors possessed antibiotic activity but no significant TCT-1 cytotoxicity.","['Hypogeamicin A', 'Hypogeamicin B', 'Hypogeamicin C', 'Hypogeamicin D']",4,"['Hypogeamicin B', 'Hypogeamicin D', 'Hypogeamicin A', 'Hypogeamicin C']",4
10.1016/j.fitote.2014.09.015,"Two altenuene derivatives (1-2) and one isocoumarin (3), together with six known compounds (4-9) were isolated from solid cultures of an endophytic fungus Alternaria alternata, obtained from the fresh branches of Camellia sinensis. Chiral analysis revealed the racemic nature of 1 and 2, which were subsequently resolved into two pairs of enantiomers [(+)-1 and (-)-1, (+)-2 and (-)-2]. Structures of all the isolates were identified through spectroscopic data. Absolute configurations of the two pairs of enantiomers were determined by electronic circular dichroism (ECD) calculation and the chiral center of C-10 in 3 was deduced via [Rh2(OCOCF3)4]-induced CD experiment. All the isolates were evaluated for their antimicrobial abilities against the pathogenic bacteria and fungi as well as cytotoxic activities against two human tumor cell lines. Compound 5 was the most active against Bacillus subtilis with MIC80 of 8.6 μg/ml, and compounds 1-3, 6-7 and 9 exhibited moderate to weak inhibition towards the test pathogenic microorganism. Compound 4 showed mild cytotoxic activity against human osteosarcoma cells U2OS with IC50 of 28.3 μM.",[],0,"['(+)-(10R)-7-hydroxy-3-(2-hydroxypropyl)-5,6-dimethylisochromen-1-one', '(+)-(2S,3S,4aS)-altenuene-3-acetoxy ester', '(+)-(2S,3S,4aS)-altenuene-2-acetoxy ester', '(-)-(2R,3R,4aR)-altenuene-2-acetoxy ester', '(-)-(2R,3R,4aR)-altenuene-3-acetoxy ester']",5
10.1021/np400880w,"A pair of unusual benzannulated 6,6-spiroketal enantiomers [-1 and (+)-1] and three new biogenetically related compounds (2-4), together with two known related analogues (5 and 6), have been isolated from a mangrove fungus, Penicillium dipodomyicola HN4-3A. Their structures were elucidated on the basis of spectroscopic analysis (1D and 2D NMR data) and X-ray crystallography. The absolute configurations of enantiomers ()-1 and (+)-1 were determined using quantum chemical calculations of the electronic circular dichroic (ECD) spectra. Compounds 2 and 3 exhibited strong inhibitory activity against Mycobacterium tuberculosis protein tyrosine phosphatase B (MptpB) with IC50 values of 0.16 ± 0.02 and 1.37 ± 0.05 μM, respectively.",[],0,"['(-)-peniphenone A', 'Peniphenone B', '(+)-peniphenone A', 'Peniphenone C', 'Peniphenone D']",5
10.1371/journal.pone.0091476,"Microcystins are potent phosphatase inhibitors and cellular toxins. They require active transport by OATP1B1 and OATP1B3 transporters for uptake into human cells, and the high expression of these transporters in the liver accounts for their selective hepatic toxicity. Several human tumors have been shown to have high levels of expression of OATP1B3 but not OATP1B1, the main transporter in liver cells. We hypothesized that microcystin variants could be isolated that are transported preferentially by OATP1B3 relative to OATP1B1 to advance as anticancer agents with clinically tolerable hepatic toxicity. Microcystin variants have been isolated and tested for cytotoxicity in cancer cells stably transfected with OATP1B1 and OATP1B3 transporters. Microcystin variants with cytotoxic OATP1B1/OATP1B3 IC50 ratios that ranged between 0.2 and 32 were found, representing a 150-fold range in transporter selectivity. As microcystin structure has a significant impact on transporter selectivity, it is potentially possible to develop analogs with even more pronounced OATP1B3 selectivity and thus enable their development as anticancer drugs",[],0,"['[D-Asp3,(E)-Dhb7]MC-YR', '[D‐MeO-Glu6]MC‐YR', 'MC‐YY', '[D-Asp³,NMe-Ser7]MC‐YHar']",4
10.3390/md12031545,"Three new (1-3) and 11 known (4-14) C25 steroids with an unusual bicyclo[4.4.1]A/B ring system were isolated by tracing newly produced metabolites in the EtOAc extract of an antitumor mutant AD-1-2 obtained by the diethyl sulphate (DES) mutagenesis of a marine-derived Penicillium purpurogenum G59. HPLC-PDAD-UV and HPLC-ESI-MS analyses indicated that the G59 strain did not produce these metabolites and the production of 1-14 in the mutant AD-1-2 extract was caused by the activation of silent metabolites in the original G59 strain by DES mutagenesis. The structures of the new compounds, named antineocyclocitrinols A (1) and B (2) and 23-O-methylantineocyclocitrinol (3), including their absolute configurations were determined by various spectroscopic methods, especially the NMR and Mo2-induced CD analyses. Compounds 1-3 provide the first examples of the C25 bicyclo[4.4.1]A/B ring steroids with the Z-configuration of 20,22-double bond. All of 1-14 weakly inhibited several human cancer cell lines to varying extents. These results provided additional examples for the successful application of the chemical mutagenesis strategy using DES to discover new compounds by activating silent metabolites in fungal isolates and supported also the effectiveness and usefulness of this new strategy.","['23-o-methylantineocyclocitrinol', 'Antineocyclocitrinol A', 'Antineocyclocitrinol B']",3,"['23-O-methylantineocyclocitrinol', 'Antineocyclocitrinol B', 'Antineocyclocitrinol A']",3
10.3390/md12115372,"Microcystins (MCs) are cyclic peptides produced by cyanobacteria, which can be harmful to humans and animals when ingested. Differences in the coding of the non‑ribosomal peptide synthetase/polyketide synthase enzyme complex responsible for microcystin production have resulted in more than 100 microcystin variants being reported to date. The microcystin diversity of Microcystis CAWBG11 was investigated using matrix-assisted laser desorption/ionization-time of flight mass spectrometry and liquid chromatography-mass spectrometry. This revealed that CAWBG11 simultaneously produced 21 known microcystins and six new congeners: [Asp3] MC-RA, [Asp3] MC-RAba, [Asp3] MC-FA, [Asp3] MC-WA, MC-FAba and MC-FL. The new congeners were putatively characterized by tandem mass spectrometry and chemical derivatization. A survey of the microcystin congeners produced by 49 cyanobacterial strains documented in scientific literature showed that cyanobacteria generally produce four microcystin congeners, but strains which produce up to 47 microcystin congeners have been reported. Microcystis CAWBG11 (which produces at least 27 congeners) was positioned in the top ten percentile of the strains surveyed, and showed fluidity of the amino acids incorporated into both position two and position four. ",[],0,"['[D-Asp³]MC-RAba', 'MC-FAba', '[D-Asp³]MC-WA', 'MC-FL', '[Asp3] MC-FA', '[Asp3] MC-RA']",6
10.1021/ol5019757,"Inactivation of the O-methyltransferase gene crmM of Actinoalloteichus cyanogriseus WH1-2216-6 led to a mutant that produced three new acyclic bipyridine glycosides, cyanogrisides E-G (1-3). Further chemical analysis of the wild strain yielded 1 and another new analogue, cyanogriside H (4). Compounds 1-4 possess a skeleton consisting of a 2,2′-bipyridine and a d-quinovose or l-rhamnose sugar moiety. Cyanogriside G (3) was considered to be a key biosynthetic intermediate of the cyclic bipyridine glycosides cyanogrisides A-D. Compounds 2 and 3 showed cytotoxicities against HCT116 and HL-60 cells, and compounds 1 and 4 were cytotoxic on K562 cells.","['Cyanogriside A', 'Cyanogriside B', 'Cyanogriside C', 'Cyanogriside D', 'Cyanogriside E', 'Cyanogriside F', 'Cyanogriside G', 'Cyanogriside H']",8,"['Cyanogriside E', 'Cyanogriside G', 'Cyanogriside F', 'Cyanogriside H']",4
10.3390/md12063669,"Two new sulfur-containing benzofuran derivatives, eurothiocin A and B (1 and 2), along with five known compounds, zinniol (3), butyrolactone I (4), aspernolide D (5), vermistatin (6), and methoxyvermistatin (7), were isolated from the cultures of Eurotium rubrum SH-823, a fungus obtained from a Sarcophyton sp. soft coral collected from the South China Sea. The new compounds (1 and 2) share a methyl thiolester moiety, which is quite rare among natural secondary metabolites. The structures of these metabolites were assigned on the basis of detailed spectroscopic analysis. The absolute configurations of 1 and 2 were determined by comparison of the experimental and calculated electronic circular dichroism (ECD) data. Compounds 1 and 2 exhibited more potent inhibitory effects against α-glucosidase activity than the clinical α-glucosidase inhibitor acarbose. Further mechanistic analysis showed that both of them exhibited competitive inhibition characteristics.","['Aspernolide D', 'Butyrolactone I', 'Eurothiocin A', 'Eurothiocin B', 'Methoxyvermistatin', 'Vermistatin', 'Zinniol']",7,"['Eurothiocin A', 'Eurothiocin B']",2
10.3390/md12041699,"Eight streptophenazines (A-H) have been identified so far as products of Streptomyces strain HB202, which was isolated from the sponge Halichondria panicea from the Baltic Sea. The variation of bioactivities based on small structural changes initiated further studies on new derivatives. Three new streptophenazines (I-K) were identified after fermentation in the present study. In addition, revised molecular structures of streptophenazines C, D, F and H are proposed. Streptophenazines G and K exhibited moderate antibacterial activity against the facultative pathogenic bacterium Staphylococcus epidermidis and against Bacillus subtilis. All tested compounds (streptophenazines G, I-K) also showed moderate activities against PDE 4B.","['Streptophenazine C', 'Streptophenazine D', 'Streptophenazine F', 'Streptophenazine G', 'Streptophenazine H', 'Streptophenazine K']",6,['Streptophenazine I'],1
10.1016/j.bmc.2014.10.039,"Marine benthic cyanobacteria are widely known as a source of toxic and potentially useful compounds.These microorganisms have been studied from many Caribbean locations, which recently include locations in the Colombian Caribbean Sea. In the present study, six lipopeptides named almiramides D to H, together with the known almiramide B are identified from a mat characterized as Oscillatoria nigroviridis collected at the Island of Providence (Colombia, S.W. Caribbean Sea). The most abundant compounds, almiramides B and D were characterized by NMR and HRESIMS, while the structures of the minor compounds almiramides E to H were proposed by the analysis of their HRESIMS and MS2 spectra. Almiramides B and D were tested against six human cell lines including a gingival fibroblast cell line and five human tumor cell lines (A549, MDA-MB231, MCF-7, HeLa and PC3) showing a strong but not selective toxicity.","['Almiramide B', 'Almiramide D']",2,"['Almiramide F', 'Almiramide D', 'Almiramide E', 'Almiramide G', 'Almiramide H']",5
10.1016/j.fitote.2014.04.013,"Six new isocoumarin derivatives, exserolides A-F (1-6), were isolated from solid cultures of the plant endophytic fungus Exserohilum sp., together with four known metabolites (7-10). The structures of 1-6 were elucidated primarily by NMR experiments. The absolute configuration of the C-3 methine carbon in 1-5 was deduced via the circular dichroism data, whereas that of the 1,3-diol moiety in 6 was assigned from the 1H NMR data of its (R)- and (S)-MTPA diesters. Compounds 3 and 9 showed antifungal activity against the plant pathogen Fusarium oxysporum, whereas 6 displayed significant inhibitory effects against a small panel of bacteria.","['Exserolide A', 'Exserolide B', 'Exserolide C', 'Exserolide D', 'Exserolide E', 'Exserolide F']",6,"['Exserolide D', 'Exserolide B', 'Exserolide A', 'Exserolide F', 'Exserolide E', 'Exserolide C']",6
10.1080/14786419.2014.891591,"One new imidazole derivative alkaloid pelopuradazole (1), together with three known alkaloids as in 3H-imidazole-4-carboxylic acid (2), 1H-pyrrole-2-carboxylic acid (3) and 2-methyl-3H-imidazole-4-carboxylic acid (4) and two known cyclo-dipeptides pelopurin A (5) and pelopurin B (6), has been isolated from the marine bacterium Pelomonas puraquae sp. nov. Pelopuradazole (1) was a new imidazole derivative alkaloid, while compounds 2, 3, 5 and 6 were firstly obtained as natural products. Compounds 1-6 were isolated from P. puraquae sp. nov. for the first time.","['1h-pyrrole-2-carboxylic acid', '2-methyl-3h-imidazole-4-carboxylic acid', '3h-imidazole-4-carboxylic acid', 'Pelopuradazole', 'Pelopurin A', 'Pelopurin B']",6,['Pelopuradazole'],1
10.1002/anie.201406973,"Two macrolide glycosides with a unique scaffold were isolated from cultures of the myxobacterium Pyxidicoccus fallax. Their structures, including absolute configurations, were elucidated by a combination of NMR, MS, degradation, and molecular modeling techniques. Analysis of the proposed biosynthetic gene cluster led to insights into the biosynthesis of the polyketide and confirmed the structure assignment. The more active compound, disciformycin B, potently inhibits methicillin-and vancomycin-resistant Staphylococcus aureus.",[],0,"['Disciformycin A', 'Disciformycin B']",2
10.3390/md12125993,"Three new asperentin-type compounds, 6-O-α-D-ribosylasperentin (1) and 6-O-α- D-ribosyl-8-O-methylasperentin ( 2) and 5-hydroxyl-6-O-methylasperentin (3), along with asperentin (4) and its known analogues (5-9), were isolated from a halotolerant Aspergillus sp. strain F00785, an endotrophic fungus from marine alga. Their structures were determined using extensive NMR and HRESIMS spectroscopic analysis, including the X-ray crystallographic data for the assignment of the absolute configurations of compound 9. Compound 4 exhibited highly potent inhibitory activity against crop pathogens, Colletotrichum gleosporioides Penz. and Colletotrichum gleosporioides (Penz.) Sacc.","['5-hydroxyl-6-o-methylasperentin', '6-o-α-d-ribosylasperentin', 'Asperentin']",3,"['5-hydroxyl-6-O-methylasperentin', '6-O-α-D-ribosyl-8-O-methylasperentin', '6-O-α-D-ribosylasperentin']",3
10.1021/jf501141g,"Nine strains of the fungus Phomopsis spp. were isolated from a vineyard showing decline from the disease esca. Strains were screened for their ability to produce secondary metabolites showing chemical diversity. The culture extracts of each strain were analyzed by liquid chromatography-ultraviolet-diode array detection-mass spectrometry. Three strains were selected for the isolation and characterization of eight of the major metabolites. Structures were elucidated by spectroscopic analyses including two-dimensional NMR and mass spectrometry and by comparison to literature data. Among the isolated metabolites were the known phomopsolide B (1), sydowinin A (6), sydowinol (7), cytosporone B (8), and four new furanones named phomopsolidones A-D (2-5). The fungal strains were identified as Phomopsis sp., Phomopsis viticola Sacc and, Phomopsis viticola complex. Biological assays on Vitis vinifera leaves and callus tissue, antibacterial, and insecticidal activities were evaluated. The results revealed variability regarding secondary metabolites with species of Phomopsis sp. associated with grapevine, raising the question of cultivar-driven strain selection and phytotoxins biosynthesis in grapevine plants.","['Cytosporone B', 'Phomopsolide B', 'Phomopsolidone A', 'Phomopsolidone B', 'Phomopsolidone C', 'Phomopsolidone D', 'Sydowinin A', 'Sydowinol']",8,"['Phomopsolidone A', 'Phomopsolidone D', 'Phomopsolidone B', 'Phomopsolidone C']",4
10.3390/md12052526,"Two new secondary metabolites, arcticoside (1) and C-1027 chromophore-V (2), were isolated along with C-1027 chromophore-III and fijiolides A and B (3-5) from a culture of an Arctic marine actinomycete Streptomyces strain. The chemical structures of 1 and 2 were elucidated through NMR, mass, UV, and IR spectroscopy. The hexose moieties in 1 were determined to be D-glucose from a combination of acid hydrolysis, derivatization, and gas chromatographic analyses. Arcticoside (1) and C-1027 chromophore-V (2), which have a benzoxazine ring, inhibited Candida albicans isocitrate lyase. Chromophore-V ( 2) exhibited significant cytotoxicity against breast carcinoma MDA-MB231 cells and colorectal carcinoma cells (line HCT-116), with IC50 values of 0.9 and 2.7 μM, respectively.","['Arcticoside', 'Chromophore-v', 'Fijiolide A', 'Fijiolide B']",4,"['C-1027 chromophore-V', 'Arcticoside']",2
10.3390/md12126113,"Seventeen lactones including eight territrem derivatives (1-8) and nine butyrolactone derivatives (9-17) were isolated from a marine-derived fungus Aspergillus terreus SCSGAF0162 under solid-state fermentation of rice. Compounds 1-3 and 9-10 were new, and their structures were elucidated by spectroscopic analysis. The acetylcholinesterase inhibitory activity and antiviral activity of compounds 1-17 were evaluated. Among them, compounds 1 and 2 showed strong inhibitory activity against acetylcholinesterase with IC50 values of 4.2 ± 0.6, 4.5 ± 0.6 nM, respectively. This is the first time it has been reported that 3, 6, 10, 12 had evident antiviral activity towards HSV-1 with IC50 values of 16.4 ± 0.6, 6.34 ± 0.4, 21.8 ± 0.8 and 28.9 ± 0.8 μg•mL-1, respectively. Antifouling bioassay tests showed that compounds 1, 11, 12, 15 had potent antifouling activity with EC50 values of 12.9 ± 0.5, 22.1 ± 0.8, 7.4 ± 0.6, 16.1 ± 0.6 μg•mL-1 toward barnacle Balanus amphitrite larvae, respectively.",[],0,"['12a-dehydroxyisoterreulactone A', 'Not named', 'Territrem D', 'Territrem E', 'Not named']",5
10.1021/np400552w,"Seven new triterpenes, inonotusol A-G (1-7), one new diterpene, inonotusic acid (8), and 22 known compounds were isolated from Inonotus obliquus. Their structures were elucidated on the basis of spectroscopic analysis, including homonuclear and heteronuclear correlation NMR (1H-1H COSY, ROESY, HSQC, and HMBC) experiments. In in vitro assays, compounds 6 and 8-16 showed hepatoprotective effects against d-galactosamine-induced WB-F344 cell damage, with inhibitory effects from 34.4percent to 81.2percent. Compounds 7, 17, and 18 exhibited selective cytotoxicities against KB, Bel-7402, or A-549 cell lines. Compounds 16 and 17 showed inhibitory effects against protein tyrosine kinases, with IC50 values of 24.6 and 7.7 μM, respectively.","['Inonotusic acid', 'Inonotusol A', 'Inonotusol B', 'Inonotusol C', 'Inonotusol D', 'Inonotusol E', 'Inonotusol F', 'Inonotusol G']",8,"['Inonotusol G', 'Inonotusol E', 'Inonotusol F', 'Inonotusol A', 'Inonotusic acid', 'Inonotusol D', 'Inonotusol B', 'Inonotusol C']",8
10.3390/md12063190,"Four new prenylxanthones, emerixanthones A-D (1-4), together with six known analogues (5-10), were isolated from the culture of the deep-sea sediment derived fungus Emericella sp. SCSIO 05240, which was identified on the basis of morphology and ITS sequence analysis. The newstructures were determined by NMR (1H, 13C NMR, HSQC, HMBC, and 1H-1H COSY), MS, CD, and optical rotation analysis. The absolute configuration of prenylxanthone skeleton was also confirmed by the X-ray crystallographic analysis. Compounds 1and 3 showed weak antibacterial activities, and 4 displayed mild antifungal activities against agricultural pathogens.","['Emerixanthone A', 'Emerixanthone B', 'Emerixanthone C', 'Emerixanthone D']",4,"['Emerixanthone B', 'Emerixanthone D', 'Emerixanthone C', 'Emerixanthone A']",4
10.1039/c4ob00970c,Genome sequencing identified a fluorinase gene in the marine bacterium Streptomyces xinghaiensis NRRL B-24674. Fermentation of the organism with inorganic fluoride (2 mM) demonstrated that the organism could biosynthesise fluoroacetate and that fluoroacetate production is sea-salt dependent. This is the first fluorometabolite producing microorganism identified from the marine environment.,[],0,['Fluoroacetate'],1
10.1248/cpb.c14-00312,"A rare hexacyclic oxindole alkaloid, speradine F (1), together with two novel tetracyclic oxindole alkaloids, speradines G (2) and H (3), were isolated from the marine-derived fungus Aspergillus oryzae. Their structures were determined by spectroscopic methods and X-ray diffraction analysis. This study is the first report on cyclopiazonic acid (CPA)-type alkaloids with a hexacyclic skeleton.","['Speradine F', 'Speradine G', 'Speradine H']",3,"['Speradine H', 'Speradine G', 'Speradine F']",3
10.1038/ja.2013.103,"As a result of the continued screening for new metabolites produced by endophytic fungi from Thai medicinal plants, two new triene fatty acid amides, bipolamides A (1) and B (2), were discovered from the endophytic fungus Bipolaris sp. MU34. The structures of all of the isolated compounds were elucidated on the basis of the spectroscopic data of NMR and MS. An antimicrobial assay revealed that bipolamide B (2) had moderate antifungal activity against Cladosporium cladosporioides FERMS-9, Cladosporium cucumerinum NBRC 6370, Saccharomyces cerevisiae ATCC 9804, Aspergillus niger ATCC 6275 and Rhisopus oryzae ATCC 10404, with Minimum inhibitory concentration (MIC) values of 16, 32, 32, 64 and 64 μg ml -1, respectively.","['Bipolamide A', 'Bipolamide B']",2,"['Bipolamide B', 'Bipolamide A']",2
10.3762/bjoc.10.20,Four new polyketides have been identified in culture filtrates of the fungal strain Penicillium sp. IBWF104-06 isolated from a soil sample. They are structurally based on the same trans-decalinpentanoic acid skeleton as tanzawaic acids A-H. One of the new compounds was found to inhibit the conidial germination in the rice blast fungus Magnaporthe oryzae at concentrations of 25 μg/mL.,[],0,"['Tanzawaic acid K', 'Tanzawaic acid L', 'Tanzawaic acid J', 'Tanzawaic acid I']",4
10.1016/j.fitote.2014.07.007,"Two new compounds with the character of diphenyl ether structure, oxisterigmatocystin D (1) and 9-acetyldiorcinol B (6), were isolated from the endolichenic fungal strain Aspergillus sp. (No. 16-20-8-1), along with six known compounds, oxisterigmatocystin A (2), oxisterigmatocystin C (3), sterigmatocystin (4), diorcinol B (5), violaceol-I (7), and violaceol-II (8). The structures of the new compounds were determined by extensive NMR spectroscopic data, and the absolute configuration of 1 was established by single-crystal X-ray diffraction analysis. Moreover, the Aβ42 aggregation inhibitory activities of 5-8 were evaluated by the standard thioflavin T (ThT) fluorescence assay using epigallocatechin gallate (EGCG) as the positive control. Compounds 7 and 8 displayed significant anti-Aβ42 aggregation activity with IC50 values of 5.1 and 2.3 μM, respectively. Preliminary structure-activity relationship of these diphenyl ethers as anti-Aβ42 aggregation inhibitors was proposed.","['9-acetyldiorcinol B', 'Diorcinol B', 'Oxisterigmatocystin A', 'Oxisterigmatocystin C', 'Oxisterigmatocystin D', 'Sterigmatocystin', 'Violaceol-i', 'Violaceol-ii']",8,"['9-acetyldiorcinol B', 'Oxisterigmatocystin D']",2
10.3390/md12020746,"Three new indolediketopiperazine peroxides, namely, 24-hydroxyverruculogen (1), 26-hydroxyverruculogen (2), and 13-O-prenyl-26-hydroxyverruculogen (3), along with four known homologues (4-7), were isolated and identified from the culture extract of the marine sediment-derived fungus Penicillium brefeldianum SD-273. Their structures were determined based on the extensive spectroscopic analysis and compound 1 was confirmed by X-ray crystallographic analysis. The absolute configuration of compounds 1-3 was determined using chiral HPLC analysis of their acidic hydrolysates. Each of the isolated compounds was evaluated for antibacterial and cytotoxic activity as well as brine shrimp (Artemia salina) lethality.","['13-o-prenyl-26-hydroxyverruculogen', '24-hydroxyverruculogen', '26-hydroxyverruculogen', 'Homologue']",4,"['24-hydroxyverruculogen', '13-O-prenyl-26-hydroxyverruculogen']",2
10.1021/np500412f,"Biotransformation of huperzine A (hupA) by a fungal endophyte, Ceriporia lacerate HS-ZJUT-C13A, afforded compounds 1-5 and three tremulane sesquiterpenoids, 6-8. Huptremules A-D (1-4) feature unusual sesquiterpenoid-alkaloid hybrid structures that integrate the characteristics of fungal metabolites (tremulane sesquiterpenoids) and the exogenous substrate (hupA). These results support the use of fungal endophytes as biocatalysts for the biotransformation of natural products, particularly those originating from the host plant.","['Huptremule A', 'Huptremule B', 'Huptremule C', 'Huptremule D']",4,"['Huptremule D', 'Huptremule A', 'Not named', 'Huptremule B', 'Huptremule C']",5
10.1016/j.bmcl.2014.08.068,"Marine sponge-associated actinomycetes represent an exciting new resource for the identification of new and novel natural products . Previously, we have reported the isolation and structural elucidation of actinosporins A (1) and B (2) from Actinokineospora sp. strain EG49 isolated from the marine sponge Spheciospongia vagabunda. Herein, by employing different fermentation conditions on the same microorganism, we report on the isolation and antioxidant activity of structurally related metabolites, actinosporins C (3) and D (4). The antioxidant potential of actinosporins C and D was demonstrated using the ferric reducing antioxidant power (FRAP) assay. Additionally, at 1.25 μM, actinosporins C and D showed a significant antioxidant and protective capacity from the genomic damage induced by hydrogen peroxide in the human promyelocytic (HL-60) cell line.","['Actinosporin A', 'Actinosporin B', 'Actinosporin C', 'Actinosporin D']",4,"['Actinosporin C', 'Actinosporin D']",2
10.1002/cbic.201300690,"Two new acyloin compounds were isolated from the thermophilic bacterium Thermosporothrix hazakensis SK20-1T. Genome sequencing of the bacterium and biochemical studies identified the thiamine diphosphate (TPP)-dependent enzyme Thzk0150, which is involved in the formation of acyloin. Through extensive analysis of the Thzk0150-catalyzed reaction products, we propose a putative reaction mechanism involving two substrates: 4-methyl-2-oxovalerate as an acyl donor and phenyl pyruvate as an acyl acceptor.",[],0,"['(-)-hazakacin', '(-)-sattabacin']",2
